Timestamp,Avalua la informació rebuda des del centre per realitzar la teva tasca,Creus que les relacions entre les persones del centre són bones?,"T'identifiques amb el centre (t'agrada, el sents teu...)?",Com qualificaries els resultats d'aprenentatge assolits per l'alumnat?,Es resolen els conflictes de convivència a través del diàleg?,Estàs satisfet amb les activitats que es fan fora del centre?,Estàs globalment satisfet amb la teva estada al centre?,"Si us plau, fes una proposta per millorar algun d'aquests aspectes (opcional, però molt important si penses que hi ha coses per polir)."
6/1/2021 8:03:08,8,10,10,9,8,8,9,
6/1/2021 8:05:34,9,9,9,6,7,7,10,
6/1/2021 8:05:47,9,8,9,8,8,8,9,
6/1/2021 8:06:02,6,3,10,5,3,5,6,
6/1/2021 8:10:51,10,9,10,6,7,7,10,
6/1/2021 8:10:53,5,8,8,6,6,9,9,
6/1/2021 8:22:52,9,9,7,6,9,7,6,"Comment #01: Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
6/1/2021 8:28:07,6,8,8,4,6,4,8,
6/1/2021 8:28:23,5,7,6,7,4,4,7,"Comment #02: Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
6/1/2021 8:52:13,8,8,7,5,7,4,8,
6/1/2021 9:15:12,10,7,10,5,9,5,10,
6/1/2021 9:44:14,8,8,9,6,7,7,9,"Comment #03: Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
6/1/2021 10:06:39,8,9,10,9,8,8,10,"Comment #04: Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
6/1/2021 10:45:12,6,6,6,7,6,6,4,
6/1/2021 11:00:34,8,8,8,8,8,8,8,
6/1/2021 11:02:51,10,8,8,7,9,8,9,"Comment #05: Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
6/1/2021 12:02:34,9,9,9,7,8,7,9,
6/1/2021 13:34:46,5,7,7,5,7,5,6,
6/1/2021 15:16:36,9,9,9,7,9,9,9,
6/1/2021 16:33:08,9,8,8,6,7,6,10,"Comment #06: Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
6/1/2021 19:16:49,10,6,7,6,4,6,9,
6/1/2021 19:44:45,3,7,5,4,6,7,6,
6/1/2021 20:08:45,8,7,3,5,7,5,7,"Comment #07: Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
6/1/2021 21:05:15,7,6,8,8,7,9,7,
6/1/2021 22:17:26,5,6,7,5,5,7,7,
6/2/2021 9:44:29,10,9,10,9,9,8,10,
6/2/2021 9:44:51,8,10,7,6,7,5,9,
6/2/2021 9:50:44,10,10,10,10,10,10,10,
6/2/2021 12:28:21,10,8,9,6,7,7,10,
6/2/2021 18:47:00,10,9,10,7,9,9,10,
6/3/2021 12:04:03,10,9,10,9,9,7,10,
6/3/2021 14:16:19,7,8,8,6,7,8,8,"Comment #08: Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
6/3/2021 17:41:35,8,6,10,7,7,1,5,"Comment #09: Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
6/4/2021 11:03:47,6,7,6,5,6,6,8,"Comment #10: Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
6/5/2021 12:27:21,9,9,10,9,9,10,10,"Comment #11: Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
6/7/2021 20:25:14,7,7,9,8,6,9,8,"Comment #12: Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
6/9/2021 9:37:04,8,8,8,7,6,5,8,
6/11/2021 8:49:02,9,9,8,8,9,8,8,
6/11/2021 8:52:31,10,10,10,8,10,10,10,
6/11/2021 9:05:12,10,10,10,9,9,9,10,
6/11/2021 9:32:30,8,6,4,6,7,8,6,
6/11/2021 9:36:21,8,5,6,6,6,5,6,
6/11/2021 10:41:59,9,8,10,7,6,4,10,"Comment #13: Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
6/11/2021 10:51:06,8,8,9,7,8,8,9,
6/11/2021 11:54:26,10,10,10,7,8,9,10,
6/11/2021 12:29:11,6,5,5,9,8,7,5,
6/11/2021 12:37:55,8,8,10,7,7,6,8,"Comment #14: Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
6/11/2021 12:54:08,10,8,10,8,9,9,9,
6/11/2021 13:34:47,7,9,5,7,6,6,8,"Comment #15: Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
6/11/2021 14:37:43,10,10,10,7,9,7,10,"Comment #16: Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
6/11/2021 18:49:10,10,8,10,10,6,8,10,
6/13/2021 8:39:48,7,9,9,7,9,9,9,
6/13/2021 16:49:31,8,8,8,7,7,6,8,
6/13/2021 18:12:27,8,8,7,4,5,7,8,"Comment #17: Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
6/13/2021 23:52:57,8,9,5,7,8,6,10,"Comment #18: Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat."
6/15/2021 19:27:42,10,10,10,8,9,9,10,
